question,A,B,C,D,E,answer
胸片后前位两侧肺野透亮度减低，可见大小相等，密度一致，分布均匀的小结节状阴影，提示的疾病是____,支气管肺炎,间质性肺炎,浸润性肺结核,粟粒性肺结核,肺水肿,D
自觉口中有咸味属于____,肾虚寒水上泛,食滞不化,肝气郁结,肝胆火旺,湿浊停滞,A
医疗机构发现重大食物中毒事件时，应当在多长时间内向所在地县级人民政府卫生行政主管部门报告____,10 分钟,半小时,1 小时,2 小时,6 小时,D
医师在执业活动中由于不负责任延误急危患者的抢救造成严重后果的责令暂停执业活动，暂停期限为____,3 个月以上 6 个月以下,半年至 2 年,1 年以上 1 年半以下,半年以上 3 年以下,6 个月以上 1 年以下,E
舌红，脉弦数属于____,肝火上炎,肝阳上亢,肝肾阴虚,肝胆湿热,肝火犯胃,A
困倦嗜睡，伴头目昏沉，胸闷脘痞，肢体困重者属于____,痰湿困脾，清阳不升,脾失健运，清阳不升,正气未复,心肾阳衰，神失温养,气血不足,A
久病耳渐聋属于____,湿热时邪，蒙闭清窍,肝胆火盛，上扰清窍,风邪上袭，经气闭阻,营血不足，清气不升,精气虚衰，不能上充清窍,E
伤寒肠穿孔多发生于____,病程的第1周，在小肠,病程的第2周，在十二指肠,病程的第3周，在回肠,病程的第4周，在结肠,恢复期，部位不定,C
此病诊断是____,便秘,泄泻,痢疾,胃痛,食积,B
2. 此病的治疗原则是____,健脾益气，温肾止泻,消食导滞,疏通经络，行气止痛,活血化淤,温胃止痛,A
此病所选的主要经脉是____,足太阴脾经,足少阴肾经,足厥阴肝经,手少阳三焦经,足太阳膀胱经,C
7. 本案例应选的针灸治则是____,滋补肝肾，强筋健骨,健脾化湿，通络止痛,益气活血，通络止痛,补益脾胃，培元固本,活血化瘀，行气止痛,C
8. 根据上述治疗原则，除局部取穴外，针灸处方所选取的主要经脉是____,足厥阴肝经,足太阴脾经,足少阴肾经,足太阳膀胱经,督脉,E
9. 本案例除主穴外，应配用的穴位是____,肝俞、脾俞,太溪、肾俞,丰隆、阳陵泉,血海、膈俞,太冲、侠溪,A
本案例的治疗原则是____,疏风通络止痛,活血化瘀,清利头窍,补气活血,祛风散寒,A
本案例治疗原则是____,活血化瘀，通络止痛,舒筋活血，散寒止痛,舒筋活络，通经止痛,疏肝解郁，活血通络,以上都不是,C
本案例治疗应选取的主要经脉是____,手太阳经,足太阴经,手少阳经,足太阳经,以上都不是,A
患者王某，男，38 岁。胃脘痛 6 年，面色萎黄，形体消瘦，胃纳不佳，胃痛拒按，痛有定处，痛如针刺，舌右侧可见紫斑两块，脉细涩。患者应诊断为____,胃痛 胃阴不足,胃痛寒邪犯胃,胃痛气滞血瘀,腹痛气滞血瘀,腹痛寒邪内积,C
患者王某，男，38 岁。胃脘痛 6 年，面色萎黄，形体消瘦，胃纳不佳，胃痛拒按，痛有定处，痛如针刺，舌右侧可见紫斑两块，脉细涩。针灸治疗处方____,中脘、内关、足三里、胃俞、三阴交,中脘、内关、足三里、膈俞、膻中,中脘、内关、足三里、膈俞、公孙,中脘、内关、足三里、关元、气海,中脘、足三里、血海、膈俞、公孙,B
患者于某，女，27 岁。2 天前受风后出现右侧面部麻木，额纹消失，眼裂变大，鼻唇沟变浅，口角下垂歪向左侧，舌淡，苔薄白。患者临床诊断为____,中风——中经络风痰阻络,中风——中经络气虚血瘀,面瘫 风寒证,面瘫 气血不足,痿证 脾胃虚弱,C
患者于某，女，27 岁。2 天前受风后出现右侧面部麻木，额纹消失，眼裂变大，鼻唇沟变浅，口角下垂歪向左侧，舌淡，苔薄白。治疗主穴应选用____,阳白、四白、颧髎、地仓、颊车、合谷,阳白、鱼腰、水沟、迎香、承浆、合谷,攒竹、丝竹空、四白、巨髎、地仓、风池,攒竹、太阳、下关、颊车、地仓、翳风,四白、下关、水沟、承浆、合谷、太冲,A
患者于某，女，27 岁。2 天前受风后出现右侧面部麻木，额纹消失，眼裂变大，鼻唇沟变浅，口角下垂歪向左侧，舌淡，苔薄白。针刺面部穴位应采用____,直刺深刺,多穴重刺,电针强刺激,提插泻法,轻刺浅刺,E
患者男，30 岁，教师。感冒发热后心悸不宁已半年。平时面色无华，神疲乏力，失眠多梦，劳则心慌气短，近 10 天内心悸加剧，ECG 示室性期前收缩 8～12 次/分。舌质淡，苔薄白，脉细弱，有歇止。患者中医诊断为____,不寐——心脾两虚,心悸——心脾两虚,郁证——心脾两虚,虚劳——心脾两虚,癫病——心脾两虚,B
患者男，30 岁，教师。感冒发热后心悸不宁已半年。平时面色无华，神疲乏力，失眠多梦，劳则心慌气短，近 10 天内心悸加剧，ECG 示室性期前收缩 8～12 次/分。舌质淡，苔薄白，脉细弱，有歇止。针刺治疗主要在哪些经脉上取穴____,手少阴经、手厥阴经,督脉、手少阴经,任脉、足太阴经,手厥阴经、足厥阴经,手少阴经、足少阴经,A
患者男，30 岁，教师。感冒发热后心悸不宁已半年。平时面色无华，神疲乏力，失眠多梦，劳则心慌气短，近 10 天内心悸加剧，ECG 示室性期前收缩 8～12 次/分。舌质淡，苔薄白，脉细弱，有歇止。针对该患者，应在主穴的基础上加用____,足三里、脾俞,心俞、肾俞,公孙、太溪,太冲、三阴交,胆俞、丘墟,A
患者男，35 岁。12 年来每日黎明之际必泻 1 次，平素大便稀溏，日行数次，脐下胀痛，泻后则安，肛门重坠感，腹部及下肢不温，神疲乏力，小便清长，舌淡，苔薄白，脉沉细无力。以下说法中正确的是____,治疗主在除湿导滞，通调腑气,患者因肝失疏泄，横逆乘脾，运化失常而导致泄泻,患者为慢性泄泻，证型为肾阳虚衰,患者为急性泄泻，证型为寒湿内盛,针刺以足阳明、手阳明经经穴为主,C
针灸治法为____,醒脑开窍，启闭固脱,平肝潜阳，调和气血,醒脑调神，疏通经络,祛风通络，疏调经筋,醒脑开窍，息风豁痰,C
区别中经络和中脏腑的要点是____,根据患者的年龄和身体情况,根据兼症的多少,根据患者的预后情况,根据病位深浅和病情轻重,根据受损脏腑,D
此病诊断是____,月经先期,月经后期,月经先后不定期,痛经,崩漏,A
其治法是____,清热调经,温经散寒,行血调经,调补气血,行气调经,A
其治疗应选取的腧穴是____,关元、血海、三阴交、行间,关元、血海、三阴交、太溪,关元、血海、三阴交、神门,气海、三阴交、行间,气海、三阴交、太溪,A
其治疗应选取的主穴是____,中极、关元、肝俞,气海、血海、足三里,地机、太冲、太溪,肾俞、命门、关元,中极、次髎、三阴交,E
本案例的诊断是____,皮炎,瘾疹,蛇串疮,风疹,丹毒,C
本案例针灸治疗，选取的主要经脉是____,足厥阴经,足太阴经,足阳明经,手少阳经,督脉,A
本案例辨证分型属于____,脾胃湿热,气血瘀滞,肺经风热,冲任不调,以上都不是,A
本案例除主穴外，还应配伍的穴位是____,少商、尺泽,三阴交、合谷,血海、膈俞,足三里、阴陵泉,以上都不是,D
本案例针灸治疗，除主穴外，还应配用的穴位是____,肝俞、太冲,丰隆、中脘,肝俞、肾俞,乳根、屋翳,以上都不是,A
治疗鼻渊之湿热阻窍者，宜配____,曲池、阳陵泉,曲池、阴陵泉,尺泽、少商,尺泽、鱼际,尺泽、曲泽,B
治疗虚脱应主选的经穴是____,任脉、督脉及手厥阴经穴,任脉、督脉及手少阴经穴,任脉、督脉及足厥阴经穴,手厥阴及足厥阴经穴,手太阴及手厥阴经穴,A
治疗戒毒综合征兼见肌肉抽搐者，可在基础方的基础上加____,太冲,肾俞,肝俞,阳陵泉,涌泉,D
治疗晕厥的主穴，不包括____,水沟,百会,中冲,内关,涌泉,D
治疗肾绞痛的主穴，除京门、肾俞外，还包括____,中极、膀胱俞、阴陵泉,中极、膀胱俞、三阴交,三焦俞、膀胱俞、阴陵泉,三焦俞、三阴交、阴陵泉,三焦俞、三阴交、阳陵泉,B
下列疾病是周期性瘫痪需要与之鉴别的是____,急性脊髓炎,运动神经元病,脊髓灰质炎,全身性重症肌无力,急性炎性脱髓鞘性神经根神经病,E
MS 的病变部位不包括____,小脑,脊髓,周围神经,大脑半球白质,脑干,C
重症肌无力最常见受累的肌肉是____,呼吸肌,四肢肌,眼外肌,咽喉肌,咀嚼肌,C
患者女，60 岁。耳鸣耳聋 10 余年，耳中如蝉鸣，时作时止，按之鸣声减弱，劳累后加剧，伴头晕，五心烦热，腰膝酸软，盗汗遗精，舌红少津，苔少，脉细弱。此病诊断是____,耳鸣,头晕,盗汗,遗精,阴虚,A
患者女，60 岁。耳鸣耳聋 10 余年，耳中如蝉鸣，时作时止，按之鸣声减弱，劳累后加剧，伴头晕，五心烦热，腰膝酸软，盗汗遗精，舌红少津，苔少，脉细弱。此病辨证分型是____,肝胆火盛,外感风邪,肾精亏虚,脾胃虚弱,湿热阻窍,C
在脑栓塞病因的心源性之中，最常见的是____,风湿性心脏病,病毒性心肌炎,心脏黏液瘤,心肌梗死,心房颤动,E
入上齿中”的经脉是____,手太阴肺经,手阳明大肠经,足阳明胃经,手少阳三焦经,手太阳小肠经,C
标本理论强调____,强调经脉分布上下部位的相应关系,强调经气两极间的关系,强调了经气的组成和来源,强调了头、胸、腹、胫部有经脉之气聚集循行的通路,强调了十二经中表里两经的联系,A
根结理论强调____,强调经脉分布上下部位的相应关系,强调经气两极间的关系,强调了经气的组成和来源,强调了头、胸、腹、胫部有经脉之气聚集循行的通路,强调了十二经中表里两经的联系,B
腋前纹头至肘横纹的骨度分寸是____,6 寸,8 寸,9 寸,12 寸,13 寸,C
肘横纹至腕掌侧横纹的骨度分寸是____,6 寸,8 寸,9 寸,12 寸,13 寸,D
以上是中府穴针刺操作的是____,向外侧斜刺或平刺 0.5～0.8寸，不可向内侧深刺，以免伤及胸膜和肺脏，引起气胸,直刺 0.5～1寸,直刺 0.5～0.8寸,直刺 0.3～0.5寸,向肘部斜刺 0.2～0.3寸，针感局部酸胀或向前臂放射。此处皮肉浅薄，穴下有桡动脉，一般不主张艾灸，更不宜直接灸、化脓灸,A
以上是列缺穴针刺操作的是____,向外侧斜刺或平刺 0.5～0.8寸，不可向内侧深刺，以免伤及胸膜和肺脏，引起气胸,直刺 0.5～1寸,直刺 0.5～0.8寸,直刺 0.3～0.5寸,向肘部斜刺 0.2～0.3寸，针感局部酸胀或向前臂放射。此处皮肉浅薄，穴下有桡动脉，一般不主张艾灸，更不宜直接灸、化脓灸,E
头面部穴位注射的剂量是____,0.1ml,0.3～0.5ml,1～2ml,0.5～1ml,2～5ml,B
胸背部穴位注射的剂量是____,0.1ml,0.3～0.5ml,1～2ml,0.5～1ml,2～5ml,D
在五行属土，又为原穴的腧穴是____,委中,足三里,足临泣,涌泉,太白,E
在五行属木，又为八脉交会穴的腧穴是____,委中,足三里,足临泣,涌泉,太白,C
治疗戒毒综合征兼见肝风扰动，宜配____,太冲、侠溪,脾俞、肾俞,心俞、肾俞,天枢、上巨虚,中冲、涌泉,A
治疗戒毒综合征兼见烦躁惊厥，宜配____,太冲、侠溪,脾俞、肾俞,心俞、肾俞,天枢、上巨虚,中冲、涌泉,E
治疗虚脱之亡阳者，宜配____,气海、足三里,太溪、涌泉,中冲、涌泉,合谷、复溜,命门、三阴交,A
治疗虚脱之亡阴者，宜配____,气海、足三里,太溪、涌泉,中冲、涌泉,合谷、复溜,命门、三阴交,B
针灸治疗痛经实证应选取哪些经穴为主____,任脉、足少阴经穴,任脉、足厥阴经穴,任脉、足太阴经穴,冲脉、足厥阴经穴,督脉、足厥阴经穴,C
针灸治疗胎位不正的主穴是____,足三里,三阴交,至阴,肝俞,肾俞,C
带下病主要与哪些经脉相关____,任脉、督脉,任脉、冲脉,任脉、带脉,冲脉、带脉,冲脉、督脉,C
治疗痄腮的配穴错误的是____,温毒在表配风池、少商,热毒蕴结配商阳、曲池、大椎,温毒内陷配劳宫、曲泉、大敦,睾丸肿痛配太冲、曲泉、蠡沟,神昏抽搐配百会、印堂、神阙,E
下列各项，不属于治疗乳痈选取的穴位是____,太溪,少泽,乳根,肩井,膻中,A
针灸治疗疔疮，选取的治疗原则是____,活血化瘀，消肿散结,调理冲任，软坚散结,清热解毒，消肿止痛,活血化瘀，消肿止痛,以上都不是,C
针灸治疗扭伤选取的腧穴属于____,阳明经,局部或邻近取穴,太阳经,少阳经,太阴经,B
针灸治疗耳鸣耳聋虚证，应以下列哪组腧穴为主____,合谷、外关、翳风、中渚,百会、听会、风池、中渚,耳门、听宫、太溪、照海,太溪、照海、完骨、翳风,太冲、太白、耳门、听会,C
针灸治疗牙痛选取的主穴是____,合谷、颊车、下关,颊车、大迎、下关,合谷、内关、颊车,曲池、合谷、大迎,曲池、风池、颊车,A
治疗咽喉肿痛之阴虚证，应以哪一经为主____,手太阴肺经,足厥阴肝经,足少阴肾经,手阳明大肠经,足阳明胃经,C
治疗高热的主穴，除十二井穴外，还包括____,大椎、曲池、合谷,大椎、合谷、太冲,曲泽、曲池、合谷,内关、神门、外关,内关、曲池、合谷,A
电针法治疗肥胖症，应选用的波型是____,疏密波,断续波,连续波,低频连续波,高频连续波,A
“阴脉之海”的功能是____,涵蓄十二经气血,调节六阳经经气,调节肢体运动,约束纵行躯干的诸条经脉,调节全身阴经经气,E
“血海”的功能是____,涵蓄十二经气血,调节六阳经经气,调节肢体运动,约束纵行躯干的诸条经脉,调节全身阴经经气,A
循喉咙，挟舌本”的经脉是____,手太阴肺经,足太阴脾经,足少阴肾经,手少阳三焦经,手太阳小肠经,C
有关奇穴，叙述正确的是____,无固定位置,无固定名称,又称为压痛点,又称为天应穴,多数对某些病证有特殊疗效,E
在外踝尖上 7 寸，腓骨前缘的是____,外丘,光明,阳交,悬钟,阳辅,A
在外踝尖上 7 寸，腓骨后缘的是____,外丘,光明,阳交,悬钟,阳辅,C
膀胱募穴是____,中极,气海,关元,阴交,血海,A
针刺人迎、扶突、廉泉，宜采用____,仰卧位,侧卧位,俯卧位,仰靠坐位,俯伏坐位,D
针刺京门、风市、环跳，宜采用____,仰卧位,侧卧位,俯卧位,仰靠坐位,俯伏坐位,B
患者感到胸痛、胸闷、气短、心慌、呼吸不畅，应考虑的是____,晕针,滞针,断针,弯针,气胸,E
在五行属水，又为合穴的腧穴是____,太溪,侠溪,少府,中府,阴陵泉,E
在五行属火，又为荥穴的腧穴是____,太溪,侠溪,少府,中府,阴陵泉,C
痹证的治疗除分部取穴外，行痹可配用的穴位是____,膈俞、血海,肾俞、关元,曲池、大椎,足三里、丰隆,以上都不是,A
在针灸治疗消渴的处方中，口干舌燥可选____,廉泉、承浆,内庭、地机,合谷、中脘,大椎、曲池,天枢、腹结,A
不寐的治疗原则是____,平肝潜阳，和胃化痰,调神理气，疏肝解郁,清心泻火，开窍定志,理气化痰，清心安神,调理跷脉，安神利眠,E
缺乳肝气郁滞者，宜加用____,中脘、内关,肝俞、膈俞,足三里、脾俞,中脘、足三里,太冲、内关,E
治疗咽喉肿痛之阴虚火旺者，可配用____,太溪、照海、鱼际,风池、外关,厉兑、鱼际,三阴交、复溜,复溜、扶突,A
蛛网膜下腔出血的主要原因是____,先天性动脉瘤,高血压动脉硬化,外伤,抗凝治疗,动静脉畸形,A
头针治疗眩晕可取____,额中线、额旁1线,顶中线、额旁1线,顶中线、枕下旁线,顶中线、枕上旁线,枕上正中线、枕下旁线,C
下列胸穴在五行配属中，属金的是____,少府,大陵,阳溪,后溪,经渠,E
在肾经上，又属郄穴的穴位是____,交信,温溜,都门,天井,复溜,A
前额两发角之间的骨度分寸是____,12寸,9寸,8寸,6寸,5寸,B
下列穴位除—外，都是治疗眩晕的基本处方用穴____,百会,风池,头维,大敦,绝骨,D
